date,symbol,ldcp,open,high,low,closing,turnover
2015-01-01,ABL,113.58,113.25,113.9,112.51,113.55,283800
2015-01-01,ABOT,710.68,700,703.5,695,700.84,3550
2015-01-01,ACPL,195.17,196.5,204.92,196.5,204.92,408100
2015-01-01,ADAMS,22.42,23.15,23.15,22.25,22.31,16500
2015-01-01,ADMM,118.74,118.89,119.85,117.5,119.85,35000
2015-01-01,AGIC,27.4,27.8,27.8,27.4,27.44,50500
2015-01-01,AGIL,150,151.00,152,150.25,150.25,3600
2015-01-01,AGLNCPS,5.02,5.02,6.02,5.02,6.02,2000
2015-01-01,AGSML,10.69,10.98,10.98,10.98,10.98,500
2015-01-01,AGTL,367.02,369,369,362,364.98,32600
2015-01-01,AHCL,27.5,27.75,28.39,27.5,28.24,690000
2015-01-01,AHCL-CFEB,28.12,,0,0,28.84,0
2015-01-01,AHCL-CJAN,27.82,,0,0,28.54,0
2015-01-01,AHCL-CMAR,28.41,,0,0,29.14,0
2015-01-01,AHCL-JAN,28.06,28.2,29.44,27.95,28.54,19000
2015-01-01,AHL,56,56,57.74,54.65,57.27,277000
2015-01-01,AICL,49.46,49.58,50.99,49.5,50.6,3540500
2015-01-01,AICL-CFEB,50.57,,0,0,51.68,0
2015-01-01,AICL-CJAN,50.04,,0,0,51.14,0
2015-01-01,AICL-CMAR,51.09,,0,0,52.22,0
2015-01-01,AICL-JAN,50.05,50.25,51.49,50.25,51.25,727500
2015-01-01,AKBL,23.07,23.19,23.45,23.01,23.22,1084000
2015-01-01,AKBL-CFEB,23.59,,0,0,23.72,0
2015-01-01,AKBL-CJAN,23.34,,0,0,23.47,0
2015-01-01,AKBL-CMAR,23.83,,0,0,23.96,0
2015-01-01,AKBL-JAN,23.38,23.6,24.54,23.51,23.57,130000
2015-01-01,AKZO,357.53,359.9,368,357.55,357.93,23600
2015-01-01,ALNRS,35.25,36.97,36.98,36.97,36.98,1000
2015-01-01,ALTN,30.54,31.1,32.06,31.1,32.06,1419500
2015-01-01,AMTEX,2.54,2.7,2.78,2.65,2.68,218500
2015-01-01,ANL,5.89,5.98,6.2,5.85,6.12,2706500
2015-01-01,APL,539.58,536.36,539,531,532.55,2500
2015-01-01,APOT,48,45.6,49.89,45.6,49.89,3000
2015-01-01,ARPL,570.96,572,584,572,578.21,19200
2015-01-01,ASL,8.29,8.05,8.05,8,8.01,10000
2015-01-01,ASLPSR,0.15,0.12,0.13,0.11,0.12,25500
2015-01-01,ASTM,10.4,11.29,11.29,11.29,11.29,5500
2015-01-01,ATBA,900,910,928,862,906,9650
2015-01-01,ATIL,75.75,76.5,76.5,76.4,76.4,1500
2015-01-01,ATLH,335.75,330,338,325,336,4800
2015-01-01,ATRL,187.77,186.5,191.4,186.05,189.24,68900
2015-01-01,ATRL-CFEB,191.98,,0,0,193.28,0
2015-01-01,ATRL-CJAN,189.98,,0,0,191.26,0
2015-01-01,ATRL-CMAR,193.97,,0,0,195.29,0
2015-01-01,ATRL-JAN,189.2,188.99,192.4,188.25,191.9,20000
2015-01-01,AVN,33.85,33.4,35.3,33.4,35.07,1222500
2015-01-01,BAFL,34.88,34.9,35.05,33.8,34.41,6374000
2015-01-01,BAFL-CFEB,35.66,,0,0,35.14,0
2015-01-01,BAFL-CJAN,35.29,,0,0,34.78,0
